df1.product,df1.route,df1.tons,df1.usd
4,1,1600,35863
4,2,2500,39577
4,2,5000,47722
4,2,20500,73560
4,1,2000,38619
4,1,52936.36,90771
5,1,2000,40046
5,1,23000,80396
5,1,3.8,24428
5,1,722,28966
5,1,1400,35290
5,1,21000,77635
5,3,0.05,734
5,1,0.421,1132
5,3,0.004,102
5,1,43,6342
5,1,1010.5,30157
5,1,26.3,4456
5,4,0.65,927
5,2,20.7,3971
5,3,1,1112
5,1,105,10246
5,1,14700,70238
5,1,0.061,253
5,1,6.804,3306
1,2,54,11525
1,1,600,16024
1,1,15803.16,57463
1,1,22.752,13670
1,2,54,9207
1,2,27,6962
1,1,1400,23955
1,1,1896,26673
1,1,2293.565,27876
1,1,17785,60288
1,1,12633.41,51560
1,1,14340,54387
1,2,27,5588
1,1,6659.85,42457
1,1,9100,47086
1,4,0.4,467
1,2,135,4466
1,1,16.068,12136
1,2,27,5753
1,1,67.288,3801
1,1,120,5949
1,2,720,38956
1,1,1000,20195
1,1,115.351,5466
1,1,150,7022
1,2,940.735,15214
1,2,5477.26,33853
1,2,54,8899
1,2,1626,45902
1,3,0.5,922
1,1,1249.636,22482
1,3,0.38,814
1,1,609.158,22875
2,1,15647.46,68859
2,1,8844.132,61165
2,1,17705.56,73255
2,1,10002.035,60884
2,1,10000,64908
2,1,7000,55391
2,1,6000,55007
2,1,7000,55561
2,1,16927.49,73681
2,1,5000,52252
2,1,14100,70972
2,1,19941.274,74237
2,1,20200,77330
2,1,13565,67562
2,1,14500,68344
2,1,595,22655
2,1,19153,76817
2,1,1000,25961
2,1,2071.86,35873
2,1,6347,56496
2,1,26200,79715
2,1,18930,72871
2,1,14050,67017
2,1,3000,39828
2,1,10000,60779
2,1,32400,84720
2,1,2000,35616
2,1,15700,70533
2,1,7000,54920
2,1,71329.628,93878
2,1,2497.51,41358
2,1,8000,61002
2,1,3000,43497
2,1,3000,41645
2,1,292840.918,98630
2,1,5000,51276
2,1,6000,54845
2,1,3000,44416
2,2,3000,42938
